Section,Description,Qty,Unit Cost,Total Cost,Supplier,Link
,,,,,,
COURSE DEVELOPMENT,,,,,,
,Course Development Work Day (1 day sub),1,$148.25,$148.25,,
,"Curriculum Revisions (2 days x 2 years x 1 teacher)",1,$594.00,$594.00,,
,Project 1: Fidget Spinner Development (2 days),1,$306.00,$306.00,,
,Project 2: LED Sign/Wall Art Development (2 days),1,$306.00,$306.00,,
,Project 3: Acrylic Ornament Development (2 days),1,$306.00,$306.00,,
,Project 4: Silicone Molds Development (2 days),1,$306.00,$306.00,,
,Project 5: Plant Watering Development (2 days),1,$306.00,$306.00,,
,Capstone Project Development (2 days),1,$306.00,$306.00,,
,Outfeed Table Development (2 days),1,$306.00,$306.00,,
,Shop Preparation Maintenance and Repair (5 days),1,$765.00,$765.00,,
,Subtotal,,,$3649.25,,
,,,,,,
CAPITAL IMPROVEMENTS (One-Time Purchase),,,,,,
,BambuLab A1 Mini 3D Printer,10,$276.00,$2760.00,BambuLab,https://us.store.bambulab.com/products/a1-mini
,BambuLab H2C 3D Printer,1,$2399.00,$2399.00,BambuLab,https://us.store.bambulab.com/products/h2c
,Creality K1C PEI Build Plate 235x235mm (Ender 3 V3 KE),10,$20.00,$200.00,Amazon,https://www.amazon.com/dp/B0CYC9YP3R
,"Industrial Packing Table 96x30"" Maple Top Square Edge",2,$725.00,$1450.00,Uline,https://www.uline.com/Product/Detail/H-2484-SMAP/Industrial-Packing-Tables/Industrial-Packing-Table-96-x-30-Maple-Top-with-Square-Edge
,"Packing Table Locking Drawer 25x22x6""",10,$130.00,$1300.00,Uline,https://www.uline.com/Product/Detail/H-4833/Industrial-Packing-Tables/Packing-Table-Locking-Drawer-25-x-22-x-6
,--- Table Saw Outfeed Table Build ---,,,,,
,"3/4"" Plywood/MDF Sheet (4x8)",1,$55.00,$55.00,Local Supplier,
,"2"" Tube Steel (8' lengths)",6,$15.00,$90.00,Alro,
,"Locking Casters (3"" heavy duty)",4,$12.00,$48.00,Amazon,
,Leveling Feet,4,$4.00,$16.00,Amazon,
,"Hardware (screws, bolts, brackets)",1,$25.00,$25.00,Amazon,
,Finish/Sealant,1,$20.00,$20.00,Amazon,
,--- End Table Saw Outfeed Table Build ---,,,,,
,Subtotal,,,$8363.00,,
,,,,,,
RECURRING CONSUMABLES - 3D Printing,,,,,,
,PLA Filament 1kg Spool (assorted colors),40,$18.89,$755.60,Amazon,https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B07ZJPCQBN
,PETG Filament 1kg Spool,10,$22.00,$220.00,Amazon,https://www.amazon.com/OVERTURE-Filament-Consumables-Dimensional-Accuracy/dp/B0B6RVJC9B
,TPU Flexible Filament 1kg Spool,5,$25.00,$125.00,Amazon,https://www.amazon.com/OVERTURE-Filament-Flexible-Dimensional-Accuracy/dp/B0BGMP1MZ7
,Nozzle Assortment (0.4mm 0.6mm 0.8mm),30,$1.50,$45.00,Amazon,
,Isopropyl Alcohol 99% Spray Bottle (32oz),10,$12.00,$120.00,Amazon,https://www.amazon.com/Alliance-Chemical-Isopropyl-Alcohol-Rubbing/dp/B08L6YZS6Q
,Subtotal,,,$1265.60,,
,,,,,,
RECURRING CONSUMABLES - Sheet Materials,,,,,,
,"1/8"" Polycarbonate (full 4x8 sheets)",2,$90.00,$180.00,Alro,
,"1/4"" Polycarbonate (full 4x8 sheets)",4,$155.00,$620.00,Alro,
,"Steel 16ga 4x4 sheet (~26 lbs @ $0.60/lb)",10,$15.60,$156.00,Alro,
,"Steel 18ga 4x4 sheet (~20 lbs @ $0.60/lb)",10,$12.00,$120.00,Alro,
,"Steel 24ga 4x4 sheet (~10 lbs @ $0.60/lb)",10,$6.00,$60.00,Alro,
,"Plywood 1/4"" Baltic Birch",20,$15.00,$300.00,Home Depot,
,"MDF 1/2""",10,$12.00,$120.00,Home Depot,
,"Acrylic 1/8"" (various colors)",15,$12.00,$180.00,Amazon,
,Subtotal,,,$1736.00,,
,,,,,,
RECURRING CONSUMABLES - Electronics,,,,,,
,LED Strip Lights 5m rolls 12V,10,$12.00,$120.00,Amazon,https://www.amazon.com/Flexible-Kitchen-Christmas-Non-waterproof-Daylight/dp/B00HSF65MC
,LED Assortment (bag of 500),2,$15.00,$30.00,Amazon,
,Resistor Kit,5,$12.00,$60.00,Amazon,
,Jumper Wire Kits,20,$6.50,$130.00,Amazon,
,Breadboards 400-point,30,$2.50,$75.00,Amazon,
,USB Cables A-to-B,30,$3.00,$90.00,Amazon,
,12V Power Supplies,20,$8.00,$160.00,Amazon,
,"Zip Ties 7.4"" 50LB Black (PLT2S-M0)",100,$0.10,$10.00,Digikey,298-1051-ND
,"Zip Ties 7.4"" 50LB Natural (PLT2S-M)",100,$0.10,$10.00,Digikey,298-1031-ND
,"Zip Ties 3.9"" 18LB Black (PLT1M-M0)",100,$0.05,$5.00,Digikey,298-10374-ND
,"Zip Ties 3.9"" 18LB Natural (PLT1M-M)",100,$0.05,$5.00,Digikey,298-1021-ND
,Subtotal,,,$695.00,,
,,,,,,
RECURRING CONSUMABLES - Adhesives & Finishing,,,,,,
,Epoxy Dispensing Gun (AB Glue),2,$15.00,$30.00,Amazon,https://www.amazon.com/dp/B0D1KF6XCD
,3M Scotch-Weld DP100Plus Epoxy Cartridges,5,$7.00,$35.00,Amazon,https://www.amazon.com/dp/B07G561G2C
,Hot Glue Sticks (bulk),500,$0.05,$25.00,Amazon,
,Sandpaper Assortment (80-400 grit),1,$75.00,$75.00,Amazon,
,Spray Paint (primer + colors),20,$6.00,$120.00,Amazon,
,Subtotal,,,$285.00,,
,,,,,,
RECURRING CONSUMABLES - Safety & PPE,,,,,,
,Safety Glasses (25-pack),1,$75.00,$75.00,Amazon,https://www.amazon.com/dp/B07BKSJ4Z4
,Nitrile Gloves (boxes of 100),10,$12.00,$120.00,Amazon,
,Dust Masks N95 (box of 20),10,$18.00,$180.00,Amazon,
,Ear Plug Dispenser (200 pairs),1,$40.00,$40.00,Amazon,https://www.amazon.com/dp/B001AZ1GGC
,Subtotal,,,$415.00,,
,,,,,,
RECURRING CONSUMABLES - CNC/Plasma,,,,,,
,Plasma Consumable Kit,2,$45.00,$90.00,Amazon,
,Subtotal,,,$90.00,,
,,,,,,
RECURRING CONSUMABLES - Machine and Tool Annual Maintenance,,,,,,
,Machine and Tool Annual Maintenance,1,$2000.00,$2000.00,,
,Subtotal,,,$2000.00,,
,,,,,,
PROJECT 1: 3D Printed Fidget Spinner (Individual - 60 students),,,,,,
,608 Skateboard Bearings (10-pack),20,$8.00,$160.00,Amazon,https://www.amazon.com/dp/B07B8Z5S8N
,PLA Filament,—,—,—,See Consumables,
,Subtotal,,,$160.00,,
,,,,,,
PROJECT 2: LED Sign/Wall Art (Groups - 15-20 teams),,,,,,
,"Soldering Supplies (solder, flux, tip cleaner)",1,$50.00,$50.00,Amazon,
,LED Strips,—,—,—,See Consumables,
,Power Supplies,—,—,—,See Consumables,
,Plywood/Acrylic,—,—,—,See Consumables,
,Sheet Metal/Plasma Consumables,—,—,—,See Consumables,
,Subtotal,,,$50.00,,
,,,,,,
PROJECT 3: Custom Acrylic Christmas Ornament (Individual - 60 students),,,,,,
,LED Light Base Kit with Remote (12-pack),5,$28.00,$140.00,Amazon,https://www.amazon.com/dp/B09YV91NGZ
,Acrylic Blanks,—,—,—,See Consumables,
,Subtotal,,,$140.00,,
,,,,,,
PROJECT 4: Silicone Molds (Individual - 60 students),,,,,,
,Silicone Mold Making Kit 1 Gallon (~15 molds each),5,$74.77,$373.85,Amazon,https://www.amazon.com/Silicone-Making-Rubber-Platinum-Gallon/dp/B0966H25Z8
,Mold Release Spray,3,$12.00,$36.00,Amazon,
,Mixing Cups & Stir Sticks (lot),1,$25.00,$25.00,Amazon,
,PLA for mold masters,—,—,—,See Consumables,
,Subtotal,,,$434.85,,
,,,,,,
PROJECT 5: Automated Plant Watering (Groups - 20 kits),,,,,,
,Arduino Uno R3 Compatible,20,$8.50,$170.00,Amazon,https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU
,Capacitive Soil Moisture Sensor v1.2,20,$4.25,$85.00,Amazon,https://www.amazon.com/Capacitive-Moisture-Corrosion-Resistant-Voltage/dp/B0981CH1RK
,Mini Submersible Water Pump 3-6V,20,$3.50,$70.00,Amazon,https://www.amazon.com/Gikfun-Submersible-Fountain-Aquarium-EK1893/dp/B07BHD6KXS
,5V Relay Module Single Channel,20,$2.00,$40.00,Amazon,https://www.amazon.com/HiLetgo-Channel-optocoupler-Support-Trigger/dp/B00LW15A4W
,"Silicone Tubing 1/4"" ID (per foot)",60,$0.35,$21.00,Amazon,
,9V Battery Holder with Switch,20,$1.50,$30.00,Amazon,
,9V Rechargeable Batteries (2-pack),20,$12.00,$240.00,Amazon,
,Water Containers 500mL,20,$2.00,$40.00,Amazon,
,Waterproof Silicone Sealant,10,$5.50,$55.00,Amazon,
,Breadboards/Jumpers/USB,—,—,—,See Consumables,
,Polycarbonate Panels,—,—,—,See Consumables,
,Subtotal,,,$751.00,,
,,,,,,
PROJECT 6: Capstone Project (Groups - 15-20 teams),,,,,,
,Materials from existing stock,—,—,—,See Consumables,
,Subtotal,,,$0.00,,
,,,,,,
,,,,,,
BUDGET SUMMARY,,,,,,
,Course Development,,,$3649.25,,
,Capital Improvements (One-Time Purchase),,,$8363.00,,
,Recurring: 3D Printing,,,$1265.60,,
,Recurring: Sheet Materials,,,$1736.00,,
,Recurring: Electronics,,,$695.00,,
,Recurring: Adhesives & Finishing,,,$285.00,,
,Recurring: Safety & PPE,,,$415.00,,
,Recurring: CNC/Plasma,,,$90.00,,
,Recurring: Machine and Tool Annual Maintenance,,,$2000.00,,
,Project 1: Fidget Spinner,,,$160.00,,
,Project 2: LED Sign/Wall Art,,,$50.00,,
,Project 3: Acrylic Ornament,,,$140.00,,
,Project 4: Silicone Molds,,,$434.85,,
,Project 5: Plant Watering,,,$751.00,,
,Project 6: Capstone,,,$0.00,,
,,,,,,
,RECURRING COSTS TOTAL,,,$10906.70,,
,CAPITAL IMPROVEMENTS TOTAL,,,$8363.00,,
,GRAND TOTAL (ALL),,,$20034.70,,
